,Opening,Notation
177,Scotch Gambit,1.e4 e5 2. Nf3 Nc6 3.d4 exd4 4. Bc4
178,"Scotch, Other 4th moves","1.e4 e5 2. Nf3 Nc6 3.d4 exd4 4. Nxd4 Qh4, Nxd4, Qf6, Bb4+, d6, g6"
179,"Scotch, 4... f6",1.e4 e5 2. Nf3 Nc6 3.d4 exd4 4. Nxd4 Nf6
180,"Scotch, 4... c5",1.e4 e5 2. Nf3 Nc6 3.d4 exd4 4. Nxd4 Bc5
181,Hungarian,1.e4 e5 2. Nf3 Nc6 3. Bc4 Be7
182,Two Knights,1.e4 e5 2. Nf3 Nc6 3. Bc4 Nf6
183,Giuoco Piano (Italian Game),1.e4 e5 2. Nf3 Nc6 3. Bc4 Bc5
184,Ruy Lopez (Spanish) Other 3rd moves,"1.e4 e5 2. Nf3 Nc6 3. Bb5 d6, Nd4, g6, Nge7"
185,"Ruy Lopez (Spanish), Classical",1.e4 e5 2. Nf3 Nc6 3. Bb5 Bc5
186,Ruy Lopez (Spanish) Schliemann,1.e4 e5 2. Nf3 Nc6 3. Bb5 f5
187,"Ruy Lopez (Spanish), Berlin",1.e4 e5 2. Nf3 Nc6 3. Bb5 Nf6
188,"Ruy Lopez (Spanish), Exchange",1.e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6
189,Ruy Lopez (Spanish) Modern Steinitz,1.e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6
190,Ruy Lopez (Spanish) Other 5th moves,"1.e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5.d3, d4, Qe2"
191,"Ruy Lopez (Spanish), Open",1.e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5.O-O Nxe4
192,Ruy Lopez (Spanish) Moeller and Steinitz Deferred,"1.e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5.O-O Bc5, d6"
193,Ruy Lopez (Spanish) Archangelsk,1.e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5.O-O b5 6. Bb3 Bb7
